Memory Ch,Rx Frequency,Tx Frequency,Offset,Repeater Shift,Mode,Tag,Encoding,Tone,DCS,Clarifier, RxClar, TxClar
1,145.19,,,-RPT,FM,WA7ABU,TONE ENC,100.0 Hz,23,0,OFF,OFF
2,145.29,,,-RPT,FM,WA7ABU,OFF,118.8 Hz,23,0,OFF,OFF
3,444.95,,,+RPT,C4FM,W7ABU,TONE ENC,100.0 Hz,23,0,OFF,OFF
4,145.49,,,-RPT,FM,W7PRA Sa,TONE ENC,136.5 Hz,23,0,OFF,OFF
5,444.825,,,+RPT,FM,W7PRA Ha,DCS,100.0 Hz,23,0,OFF,OFF
6,146.61,,,-RPT,FM,K7ENW,TONE ENC,167.9 Hz,23,0,OFF,OFF
7,442.85,,,+RPT,FM,K7ENW,TONE ENC,167.9 Hz,23,0,OFF,OFF
8,147.16,,,+RPT,FM,W7OSU,TONE ENC,100.0 Hz,23,0,OFF,OFF
9,146.72,,,-RPT,FM,W7PXL,TONE ENC,100.0 Hz,23,0,OFF,OFF
10,146.78,,,-RPT,FM,K7CVO,TONE ENC,156.7 Hz,23,0,OFF,OFF
11,146.52,,,OFF,FM,VHF Call,OFF,100.0 Hz,23,0,OFF,OFF
12,446,,,OFF,FM,UHF Call,OFF,100.0 Hz,23,0,OFF,OFF
20,162.55,,,OFF,FM,WX PDX,OFF,100.0 Hz,23,0,OFF,OFF
21,162.475,,,OFF,FM,WX SLE,OFF,100.0 Hz,23,0,OFF,OFF
22,162.5,,,OFF,FM,WX FLO,OFF,100.0 Hz,23,0,OFF,OFF
23,122.725,,,OFF,AM,ALB CTAF,OFF,100.0 Hz,23,0,OFF,OFF
24,123.075,,,OFF,AM,CVO CTAF,OFF,100.0 Hz,23,0,OFF,OFF
